FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3397,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-29T00:00:00,2025-04-30T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3395,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-30T00:00:00,2025-05-01T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3394,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-01T00:00:00,2025-05-02T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3391,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-02T00:00:00,2025-05-03T00:00:00,0.101,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3390,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-03T00:00:00,2025-05-04T00:00:00,0.103,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-338f,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-04T00:00:00,2025-05-05T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-338c,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-05T00:00:00,2025-05-06T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-338b,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-06T00:00:00,2025-05-07T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3388,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-07T00:00:00,2025-05-08T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3387,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-08T00:00:00,2025-05-09T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3385,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-09T00:00:00,2025-05-10T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3383,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-10T00:00:00,2025-05-11T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3382,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-11T00:00:00,2025-05-12T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3380,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-12T00:00:00,2025-05-13T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-337e,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-05-13T00:00:00,2025-05-14T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
