pegelNummer;pegelName;betreiber;gewaesser;geogrLaenge;geogrBreite;von;bis;parameter;stillgelegtAm;isDFUE;einzugsgebiet;pnp;pnp_gueltig_ab;gewaesserfolge
114488;Poggensee;LKN, Flintbek;Poggensee;10.384763;53.825535;2016-01-12;;Wasserstand;;false;;7.832000;2012-10-08;
114627;Sterley;LKN, Husum;Schaalseekanal;10.858123;53.640564;2016-03-09;;Wasserstand;2018-06-06;false;;0.000000;2016-03-09;
114020;Dieksee;LKN, Kiel;Dieksee;10.494411;54.158489;1978-11-01;2020-01-22;Wasserstand;;true;166.0;0.000000;1996-11-01;
114339;Eiderheim;LKN, Kiel;Eider;10.036477;54.229633;1992-08-01;;Wasserstand;;false;124.0;0.000000;1994-11-01;Nord-Ostsee-Kanal, Elbe, Nordsee
114532;Engbrück;LKN, Husum;Bollingstedter Au;9.447243;54.590462;2003-09-25;;Wasserstand;;false;83.1;5.010000;2018-01-01;Tideeider, Nordsee
114026;Esperstoftfeld;LKN, Husum;Bollingstedter Au;9.365951;54.578503;1984-11-01;;Wasserstand;;false;98.9;0.000000;1994-11-01;Tideeider, Nordsee
114529;Barkauer See;LKN, Kiel;Barkauer See;10.646019;54.083942;2007-03-23;;Wasserstand;;false;62.7;16.687000;2003-09-17;
114360;Borgdorfer See;LKN, Kiel;Wennebek;9.891868;54.180187;1993-10-01;;Wasserstand;;false;6.94;0.000000;2012-03-13;
114548;Burger Fähre;LKN, Itzehoe;Graben 21;9.284222;53.983353;2004-12-09;;Wasserstand;2018-01-10;false;7.59;-5.081000;2004-12-20;
114244;Dellbrück;LKN, Itzehoe;Dellbrückau;9.191048;54.103416;1984-11-01;2020-01-22;Wasserstand;;true;16.03;-5.026000;2018-01-01;Speicherbecken Dithmarscher Speicherkoog, Nordsee
114450;Achtrupfeld;LKN, Husum;Brebek;9.060335;54.776279;2001-11-08;;Wasserstand;;false;26.55;-4.990000;2018-01-01;Bongsieler Kanal, Nordsee
114320;Bokel-Dorf;LKN, Kiel;Bokeler Au;9.796609;54.212933;1997-12-01;;Wasserstand;;false;20.4;0.000000;2011-08-18;
114011;Bredeneek;LKN, Kiel;Spolsau;10.304488;54.263187;1984-11-01;;Wasserstand;2009-02-11;false;47.9;0.000000;1994-11-01;
114081;Gr.Eutiner See;LKN, Kiel;Gr.Eutiner See;10.614163;54.143135;1976-01-01;2020-01-22;Wasserstand;;true;56.0;0.000000;1994-11-01;
114206;Mehlbek;LKN, Itzehoe;Stegau;9.441890;54.009464;1984-06-01;;Wasserstand;1991-10-31;false;32.4;6.801000;1996-07-11;
114373;Holm/Aue;LKN, Itzehoe;Holmau;9.670496;53.636883;1995-03-01;;Wasserstand;;false;12.55;0.751000;2007-11-01;
